anos,Indice Populacional
1000,254.000.000
1025,268.500.000
1050,283.000.000
1075,297.500.000
1100,312.000.000
1125,324.250.000
1150,336.500.000
1175,348.750.000
1200,361.000.000
1225,367.000.000
1250,373.000.000
1275,379.000.000
1300,385.000.000
1325,374.250.000
1350,363.500.000
1375,352.750.000
1400,342.000.000
1425,363.000.000
1450,384.000.000
1475,405.000.000
1500,426.000.000
1525,457.000.000
1550,488.000.000
1575,512.500.000
1600,537.000.000
1625,539.000.000
1650,541.000.000
1675,563.000.000
1700,585.000.000
1725,651.000.000
1750,717.000.000
1775,815.000.000
1800,913.000.000
1825,1.099.521.739
1850,1.218.000.000
1875,1.398.000.000
1900,1.578.000.000
1925,1.968.740.741
1950,2.499.320.000
1975,4.069.440.000
2000,6.148.900.000
2025,8.191.990.000
